user,type,source,group
gmaccari,local-user,group:amsbench,amsbench
jneufabe,local-user,group:amsbench,amsbench
yverley,local-user,group:aoc350,aoc350
cdindart,local-user,group:aoc350,aoc350
gdecroue,local-user,group:aoc350,aoc350
tteres,local-user,group:aoc350,aoc350
mfremau2,local-user,group:aoc350,aoc350
bmaret,local-user,group:aoc350,aoc350
gmichaud,local-user,group:aoc350,aoc350
mvenier,local-user,group:aoc380,aoc380
dvivier,local-user,group:aoc380,aoc380
egomez,local-user,group:aoc380,aoc380
dvivier,local-user,group:aoc380_mgt,aoc380_mgt
llamonta,local-user,group:aoc380_mgt,aoc380_mgt
egomez,local-user,group:aoc380_mgt,aoc380_mgt
fdeweulf,local-user,group:aoc380_mgt,aoc380_mgt
gdecroue,local-user,group:aoc380_mgt,aoc380_mgt
mcatteau,local-user,group:aoc380_mgt,aoc380_mgt
dvivier,local-user,group:aoc380_rcf,aoc380_rcf
bchaigne,local-user,group:aoc380_rcf,aoc380_rcf
llamonta,local-user,group:aoc380_rcf,aoc380_rcf
prouquie,local-user,group:aoc380_rcf,aoc380_rcf
egomez,local-user,group:aoc380_rcf,aoc380_rcf
pcouderc,local-user,group:aoc380_rcf,aoc380_rcf
fdeweulf,local-user,group:aoc380_rcf,aoc380_rcf
mvenier,local-user,group:aoc380_rcf,aoc380_rcf
mcatteau,local-user,group:aoc380_rcf,aoc380_rcf
dbonnefi,local-user,group:aoc380_rcf,aoc380_rcf
gdecroue,local-user,group:aoc380_rcf,aoc380_rcf
cchadebe,local-user,group:aoc380_rcf,aoc380_rcf
fmaison,local-user,group:aoc380_shr,aoc380_shr
pmonnie,local-user,group:aoc380_shr,aoc380_shr
dvivier,local-user,group:aoc380_shr,aoc380_shr
fwillig,local-user,group:aoc380_shr,aoc380_shr
llamonta,local-user,group:aoc380_shr,aoc380_shr
pcouderc,local-user,group:aoc380_shr,aoc380_shr
prouquie,local-user,group:aoc380_shr,aoc380_shr
egomez,local-user,group:aoc380_shr,aoc380_shr
fdeweulf,local-user,group:aoc380_shr,aoc380_shr
mvenier,local-user,group:aoc380_shr,aoc380_shr
mcatteau,local-user,group:aoc380_shr,aoc380_shr
dbonnefi,local-user,group:aoc380_shr,aoc380_shr
odallaro,local-user,group:aoc380_shr,aoc380_shr
cchadebe,local-user,group:aoc380_shr,aoc380_shr
tteres,local-user,group:aoc380_shr,aoc380_shr
ldemont,local-user,group:aoc900,aoc900
cterrat,local-user,group:aoc900,aoc900
pmonnie,local-user,group:aoc900,aoc900
dvivier,local-user,group:aoc900,aoc900
pcouderc,local-user,group:aoc900,aoc900
egomez,local-user,group:aoc900,aoc900
mcatteau,local-user,group:aoc900,aoc900
oblacher,local-user,group:aoc900,aoc900
cchadebe,local-user,group:aoc900,aoc900
tteres,local-user,group:aoc900,aoc900
operrier,local-user,group:asp,asp
fazum,local-user,group:asp,asp
rthieuli,local-user,group:asp,asp
sgasnier,local-user,group:asp,asp
plievin,local-user,group:asp,asp
ethomas,local-user,group:asp,asp
ravsec,local-user,group:asp,asp
abrossar,local-user,group:asp,asp
cchadebe,local-user,group:asp,asp
smontroz,local-user,group:asp,asp
ecadic,local-user,group:atfproj,atfproj
dmechain,local-user,group:atfproj,atfproj
plombard,local-user,group:atfproj,atfproj
tgiraldi,local-user,group:atfproj,atfproj
E40063586,local-user,group:atn_airtel,atn_airtel
pmonnie,local-user,group:atn_airtel,atn_airtel
pdubois,local-user,group:atn_airtel,atn_airtel
llamonta,local-user,group:atn_airtel,atn_airtel
atn_tst,local-user,group:atn_airtel,atn_airtel
tteres,local-user,group:atn_airtel,atn_airtel
cchadebe,local-user,group:atn_airtel,atn_airtel
mfremau2,local-user,group:atn_airtel,atn_airtel
recette,local-user,group:atn_airtel,atn_airtel
E40050791,local-user,group:atsu,atsu
jfernand,local-user,group:atsu,atsu
E40063586,local-user,group:atsu,atsu
pmonnie,local-user,group:atsu,atsu
pdubois,local-user,group:atsu,atsu
llamonta,local-user,group:atsu,atsu
atn_tst,local-user,group:atsu,atsu
atsu,local-user,group:atsu,atsu
tteres,local-user,group:atsu,atsu
cchadebe,local-user,group:atsu,atsu
mfremau2,local-user,group:atsu,atsu
recette,local-user,group:atsu,atsu
pdubois,local-user,group:atsuatos,atsuatos
E40050791,local-user,group:autotools,autotools
acradm,local-user,group:autotools,autotools
jfernand,local-user,group:autotools,autotools
fbousson,local-user,group:autotools,autotools
E40063586,local-user,group:autotools,autotools
nane,local-user,group:autotools,autotools
bchateau,local-user,group:autotools,autotools
fwandels,local-user,group:autotools,autotools
sloisel,local-user,group:autotools,autotools
smontroz,local-user,group:autotools,autotools
fjouhaud,local-user,group:autotools,autotools
cchadebe,local-user,group:autotools,autotools
nmoutrou,local-user,group:autotools,autotools
builder1,local-user,group:autotools,autotools
sdagosti,local-user,group:autotools,autotools
lvidal,local-user,group:autotools,autotools
vmassias,local-user,group:autotools,autotools
ajeanjea,local-user,group:autotools,autotools
mbourgeo,local-user,group:autotools,autotools
nteisser,local-user,group:autotools,autotools
xpoulet,local-user,group:autotools,autotools
ccibert,local-user,group:bdadmin,bdadmin
postgres,local-user,group:bdadmin,bdadmin
odallaro,local-user,group:bdadmin,bdadmin
fdeweulf,local-user,group:caronline,caronline
mguy,local-user,group:caronline,caronline
prouzies,local-user,group:caronline,caronline
tomcat,local-user,group:caronline,caronline
pcau,local-user,group:caronline,caronline
ecadic,local-user,group:cleopatra,cleopatra
cimbert,local-user,group:cleopatra,cleopatra
xesneu,local-user,group:cnpc,cnpc
dmechain,local-user,group:cnpc,cnpc
bbordona,local-user,group:cnpc,cnpc
ldemont,local-user,group:coframi,coframi
gdecroue,local-user,group:coframi,coframi
llamonta,local-user,group:coframi,coframi
nane,local-user,group:comac,comac
jchabre1,local-user,group:comac,comac
tteres,local-user,group:comac,comac
vhubert,local-user,group:cp140,cp140
jpouzet,local-user,group:cp140,cp140
ajeanjea,local-user,group:cp140,cp140
mvenier,local-user,group:cp140,cp140
cchadebe,local-user,group:cp140,cp140
olafourc,local-user,group:crcvs,crcvs
apache,local-user,group:crcvs,crcvs
mdelort,local-user,group:crcvs,crcvs
www-data,local-user,group:crcvs,crcvs
plombard,local-user,group:crcvs,crcvs
mroux,local-user,group:crcvs,crcvs
smontroz,local-user,group:crcvs,crcvs
tteres,local-user,group:crcvs,crcvs
fmartin,local-user,group:crcvs,crcvs
olafourc,local-user,group:cursus,cursus
ccibert,local-user,group:dbd-squore,dbd-squore
squore,local-user,group:dbd-squore,dbd-squore
admindt,local-user,group:dbd-squore,dbd-squore
jcazemaj,local-user,group:dbd-squore,dbd-squore
squoredv,local-user,group:dbd-squore,dbd-squore
jenkins,local-user,group:dbd-squore,dbd-squore
bchaigne,local-user,group:dcr,dcr
prouquie,local-user,group:dcr,dcr
cherrero,local-user,group:dcr,dcr
lievin,local-user,group:dcr,dcr
jlephay,local-user,group:dcr,dcr
glapoint,local-user,group:dcr,dcr
fmartin,local-user,group:dcr,dcr
cchadebe,local-user,group:dcr,dcr
lluu,local-user,group:dfinder2_svn,dfinder2_svn
lluu,local-user,group:dfinder_svn,dfinder_svn
jfernand,local-user,group:dtachats,dtachats
jcazeils,local-user,group:dtachats,dtachats
mfradin,local-user,group:dtachats,dtachats
aocweb,local-user,group:dtachats,dtachats
wcottavo,local-user,group:dtachats,dtachats
testnbf,local-user,group:dtachats,dtachats
lcardon,local-user,group:dtbe,dtbe
dressige,local-user,group:dtbe,dtbe
ccibert,local-user,group:dtprod,dtprod
dmechain,local-user,group:dtprod,dtprod
polive,local-user,group:dtprod,dtprod
pcazalbo,local-user,group:dtprod,dtprod
ehatchon,local-user,group:dtprod,dtprod
bchateau,local-user,group:dtprod,dtprod
lbaules,local-user,group:dtprod,dtprod
lsantin,local-user,group:dtprod,dtprod
agautier,local-user,group:dtprod,dtprod
jpouzet,local-user,group:dtprod,dtprod
tgiraldi,local-user,group:dtprod,dtprod
mguy,local-user,group:dtprod,dtprod
mescande,local-user,group:dtprod,dtprod
mdomiati,local-user,group:dtprod,dtprod
vracaud,local-user,group:dtprod,dtprod
oletoume,local-user,group:dtprod,dtprod
prouzies,local-user,group:dtprod,dtprod
dbonnefi,local-user,group:dtprod,dtprod
cpottier,local-user,group:dtprod,dtprod
asabeg,local-user,group:dtprod,dtprod
rchabane,local-user,group:dtprod,dtprod
cimbert,local-user,group:dtprod,dtprod
fmartin,local-user,group:dtprod,dtprod
wcottavo,local-user,group:dtprod,dtprod
ecaestec,local-user,group:dtprod,dtprod
hlalanne,local-user,group:dtprod,dtprod
lcardon,local-user,group:dtprod,dtprod
rracaud,local-user,group:dtprod,dtprod
dressige,local-user,group:dtprod,dtprod
fgayraud,local-user,group:dtprod,dtprod
fcomte,local-user,group:dtprod,dtprod
plombard,local-user,group:dtprod,dtprod
mroux,local-user,group:dtprod,dtprod
ssevestr,local-user,group:dtprod,dtprod
fcrestey,local-user,group:dtprod,dtprod
fmorel,local-user,group:dtprod,dtprod
lluu,local-user,group:dtprod,dtprod
lbeaufre,local-user,group:dtprod,dtprod
oletoume,local-user,group:etcmgt,etcmgt
oblacher,local-user,group:etcmgt,etcmgt
plombard,local-user,group:etcmgt,etcmgt
ecorbi,local-user,group:etcmgt,etcmgt
fmartin,local-user,group:etcmgt,etcmgt
